observed_at,card_id,psa10_population,psa9_population,total_population,psa_estimate_usd,source_url,verified_identity,notes
2026-08-12T00:57:58+09:00,charizard-holo-004,486,,,19996.00,https://www.psacard.com/cert/05318636/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T01:12:16+09:00,eevee-svp-173,30889,,,142.00,https://www.psacard.com/cert/111607960/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T01:19:22+09:00,mega-gengar-ex-240,33099,,,586.00,https://www.psacard.com/cert/157096189/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:08+09:00,pikachu-mcdonalds-020,283894,,,90.00,https://www.psacard.com/cert/129322206/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,pikachu-mcdonalds-020,283894,,,90.00,https://www.psacard.com/cert/129322206/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,pikachu-grey-felt-hat-085,49705,,,2741.00,https://www.psacard.com/cert/83910102/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,charizard-ex-sir-199,28351,,,1460.00,https://www.psacard.com/cert/129504577/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,charizard-v-050,50932,,,88.00,https://www.psacard.com/cert/103091987/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,charizard-holo-004,486,,,20771.00,https://www.psacard.com/cert/05318636/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,pikachu-sv-promo-001,75909,,,98.00,https://www.psacard.com/cert/80282211/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,eevee-svp-173,30889,,,142.00,https://www.psacard.com/cert/111607960/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,ancient-mew,3906,,,2928.00,https://www.psacard.com/cert/101091008/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,moltres-zapdos-articuno-gx-sm210,42481,,,433.00,https://www.psacard.com/cert/70650956/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,mega-gengar-ex-240,33099,,,588.00,https://www.psacard.com/cert/157096189/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,umbreon-ex-217,78758,,,605.00,https://www.psacard.com/cert/106454363/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,mega-darkrai-ex-114,2352,,,355.00,https://www.psacard.com/cert/163314143/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,pikachu-ex-234,30630,,,417.00,https://www.psacard.com/cert/152488646/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,pikachu-ex-764,6137,,,2247.00,https://www.psacard.com/cert/155142448/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,rockets-mewtwo-ex-237,18275,,,234.00,https://www.psacard.com/cert/142644844/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,mega-dragonite-ex-246,25694,,,324.00,https://www.psacard.com/cert/153173037/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,charizard-ex-201,37470,,,630.00,https://www.psacard.com/cert/84248781/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,charizard-ex-134,19841,,,427.00,https://www.psacard.com/cert/97617915/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,mew-ex-347,26257,,,840.00,https://www.psacard.com/cert/123263015/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,charizard-ex-349,24330,,,380.00,https://www.psacard.com/cert/84814871/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,mega-charizard-x-ex-110,49210,,,1034.00,https://www.psacard.com/cert/150956440/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,giratina-v-111,13570,,,1909.00,https://www.psacard.com/cert/102844039/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,rayquaza-vmax-083,2495,,,6556.00,https://www.psacard.com/cert/82607058/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,rockets-giovanni-270,3232,,,84.00,https://www.psacard.com/cert/134045863/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,giratina-vstar-261,29883,,,327.00,https://www.psacard.com/cert/89854465/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T10:36:47+09:00,arceus-vstar-262,24500,,,209.00,https://www.psacard.com/cert/76548435/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,pikachu-mcdonalds-020,283894,,,90.00,https://www.psacard.com/cert/129322206/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,pikachu-grey-felt-hat-085,49705,,,2741.00,https://www.psacard.com/cert/83910102/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,charizard-ex-sir-199,28351,,,1460.00,https://www.psacard.com/cert/129504577/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,charizard-v-050,50932,,,88.00,https://www.psacard.com/cert/103091987/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,pikachu-sv-promo-001,75909,,,98.00,https://www.psacard.com/cert/80282211/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,eevee-svp-173,30889,,,142.00,https://www.psacard.com/cert/111607960/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,moltres-zapdos-articuno-gx-sm210,42481,,,433.00,https://www.psacard.com/cert/70650956/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,mega-gengar-ex-240,33099,,,588.00,https://www.psacard.com/cert/157096189/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,umbreon-ex-217,78758,,,605.00,https://www.psacard.com/cert/106454363/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,mega-darkrai-ex-114,2352,,,355.00,https://www.psacard.com/cert/163314143/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,pikachu-ex-234,30630,,,417.00,https://www.psacard.com/cert/152488646/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,pikachu-ex-764,6137,,,2247.00,https://www.psacard.com/cert/155142448/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,rockets-mewtwo-ex-237,18275,,,234.00,https://www.psacard.com/cert/142644844/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,mega-dragonite-ex-246,25694,,,324.00,https://www.psacard.com/cert/153173037/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,charizard-ex-201,37470,,,630.00,https://www.psacard.com/cert/84248781/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,charizard-ex-134,19841,,,427.00,https://www.psacard.com/cert/97617915/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,mew-ex-347,26257,,,840.00,https://www.psacard.com/cert/123263015/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,charizard-ex-349,24330,,,380.00,https://www.psacard.com/cert/84814871/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,mega-charizard-x-ex-110,49210,,,1034.00,https://www.psacard.com/cert/150956440/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,giratina-v-111,13570,,,1909.00,https://www.psacard.com/cert/102844039/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,rayquaza-vmax-083,2495,,,6556.00,https://www.psacard.com/cert/82607058/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,rockets-giovanni-270,3232,,,84.00,https://www.psacard.com/cert/134045863/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,giratina-vstar-261,29883,,,327.00,https://www.psacard.com/cert/89854465/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T11:29:19+09:00,arceus-vstar-262,24500,,,209.00,https://www.psacard.com/cert/76548435/psa,true,Automated Raspberry Pi snapshot verified on rendered PSA cert page
2026-08-12T20:14:29+09:00,umbreon-v-085,12275,,,506.00,https://www.psacard.com/cert/93420264/psa,true,Manual snapshot verified against official PSA cert record
2026-08-12T20:14:29+09:00,tohoku-pikachu-260,24462,,,252.00,https://www.psacard.com/cert/141264605/psa,true,Manual snapshot verified against official PSA cert record
2026-08-12T20:14:29+09:00,hiroshima-pikachu-261,23219,,,312.00,https://www.psacard.com/cert/165369873/psa,true,Manual snapshot verified against official PSA cert record
2026-08-12T20:14:29+09:00,fukuoka-pikachu-289,31929,,,228.00,https://www.psacard.com/cert/153861126/psa,true,Manual snapshot verified against official PSA cert record
2026-08-12T20:14:29+09:00,pikachu-promo-208,39606,,,343.00,https://www.psacard.com/cert/109408038/psa,true,Manual snapshot verified against official PSA cert record
2026-08-12T20:14:29+09:00,detective-pikachu-098,48518,,,451.00,https://www.psacard.com/cert/158705975/psa,true,Manual snapshot verified against official PSA cert record
2026-08-12T20:14:29+09:00,pikachu-promo-323,15158,,,607.00,https://www.psacard.com/cert/140449947/psa,true,Manual snapshot verified against official PSA cert record
2026-08-12T20:14:29+09:00,eevee-art-755,1167,,,385.00,https://www.psacard.com/cert/159183295/psa,true,Manual snapshot verified against official PSA cert record
2026-08-12T20:14:29+09:00,pikachu-chr-073,32336,,,149.00,https://www.psacard.com/cert/154897988/psa,true,Manual snapshot verified against official PSA cert record
2026-08-12T21:00:58+09:00,pikachu-mcdonalds-020,284196,,,90.00,https://www.psacard.com/cert/129322206/psa,true,Automated snapshot validated from PSA cert record via text mirror
2026-08-12T21:00:58+09:00,pikachu-grey-felt-hat-085,49709,,,2741.00,https://www.psacard.com/cert/83910102/psa,true,Automated snapshot validated from PSA cert record via text mirror
2026-08-12T21:00:58+09:00,charizard-ex-sir-199,28363,,,1460.00,https://www.psacard.com/cert/129504577/psa,true,Automated snapshot validated from PSA cert record via text mirror
2026-08-12T21:00:58+09:00,pikachu-sv-promo-001,76016,,,98.00,https://www.psacard.com/cert/80282211/psa,true,Automated snapshot validated from PSA cert record via text mirror
2026-08-12T21:00:58+09:00,mega-gengar-ex-240,33262,,,588.00,https://www.psacard.com/cert/157096189/psa,true,Automated snapshot validated from PSA cert record via text mirror
